2024-03-14 11:48:20,882 - root - INFO - Epoch 29; loss: 22.509485244750977; CER: 0.9394179582595825; WER: 1.0; val_loss: 22.3782958984375; val_CER: 0.9404762387275696; val_WER: 1.0
2024-03-14 11:48:46,456 - root - INFO - Epoch 30; loss: 22.425458908081055; CER: 0.9398148059844971; WER: 1.0; val_loss: 22.097169876098633; val_CER: 0.94047611951828; val_WER: 1.0
2024-03-14 11:49:11,910 - root - INFO - Epoch 31; loss: 22.309873580932617; CER: 0.9312358498573303; WER: 1.0; val_loss: 22.47379493713379; val_CER: 0.940646231174469; val_WER: 1.0
2024-03-14 11:49:37,716 - root - INFO - Epoch 32; loss: 22.186540603637695; CER: 0.9258125424385071; WER: 1.0; val_loss: 21.822832107543945; val_CER: 0.9085033535957336; val_WER: 1.0
2024-03-14 11:50:03,613 - root - INFO - Epoch 33; loss: 22.04397201538086; CER: 0.920634925365448; WER: 1.0; val_loss: 22.277189254760742; val_CER: 0.928571343421936; val_WER: 1.0
2024-03-14 11:50:31,044 - root - INFO - Epoch 34; loss: 21.885364532470703; CER: 0.9187830090522766; WER: 1.0; val_loss: 21.277240753173828; val_CER: 0.902550995349884; val_WER: 1.0
2024-03-14 11:50:56,689 - root - INFO - Epoch 35; loss: 21.653993606567383; CER: 0.9123203754425049; WER: 1.0; val_loss: 20.87173080444336; val_CER: 0.89064621925354; val_WER: 1.0
2024-03-14 11:51:22,143 - root - INFO - Epoch 36; loss: 21.41472053527832; CER: 0.9041193723678589; WER: 1.0; val_loss: 21.775863647460938; val_CER: 0.9190475344657898; val_WER: 1.0
2024-03-14 11:51:50,413 - root - INFO - Epoch 37; loss: 21.25111198425293; CER: 0.9041193723678589; WER: 1.0; val_loss: 21.286174774169922; val_CER: 0.9095237851142883; val_WER: 1.0
2024-03-14 11:52:21,061 - root - INFO - Epoch 38; loss: 20.914655685424805; CER: 0.8963339924812317; WER: 1.0; val_loss: 21.150562286376953; val_CER: 0.901190459728241; val_WER: 1.0
2024-03-14 11:52:47,859 - root - INFO - Epoch 39; loss: 20.770374298095703; CER: 0.8976190686225891; WER: 1.0; val_loss: 26.692886352539062; val_CER: 0.9642856121063232; val_WER: 1.0
2024-03-14 11:53:15,881 - root - INFO - Epoch 40; loss: 20.506563186645508; CER: 0.8887942433357239; WER: 1.0; val_loss: 19.514347076416016; val_CER: 0.875; val_WER: 1.0
2024-03-14 11:53:43,923 - root - INFO - Epoch 41; loss: 20.148996353149414; CER: 0.8849395513534546; WER: 1.0; val_loss: 22.12299346923828; val_CER: 0.9180271625518799; val_WER: 1.0
2024-03-14 11:54:11,729 - root - INFO - Epoch 42; loss: 19.905317306518555; CER: 0.8788360357284546; WER: 1.0; val_loss: 24.757591247558594; val_CER: 0.9619047045707703; val_WER: 1.0
2024-03-14 11:54:40,712 - root - INFO - Epoch 43; loss: 19.669198989868164; CER: 0.8844103813171387; WER: 1.0; val_loss: 20.085309982299805; val_CER: 0.8940476179122925; val_WER: 1.0
2024-03-14 11:55:08,682 - root - INFO - Epoch 44; loss: 19.402746200561523; CER: 0.8828231692314148; WER: 1.0; val_loss: 20.392417907714844; val_CER: 0.8845237493515015; val_WER: 1.0
2024-03-14 11:55:36,815 - root - INFO - Epoch 45; loss: 19.004501342773438; CER: 0.877003014087677; WER: 1.0; val_loss: 20.148120880126953; val_CER: 0.9214285612106323; val_WER: 1.0
2024-03-14 11:56:03,863 - root - INFO - Epoch 46; loss: 18.58878517150879; CER: 0.8664022088050842; WER: 1.0; val_loss: 24.42259407043457; val_CER: 0.9511904120445251; val_WER: 1.0
2024-03-14 11:56:31,195 - root - INFO - Epoch 47; loss: 18.366064071655273; CER: 0.8816326856613159; WER: 1.0; val_loss: 18.003286361694336; val_CER: 0.8620747923851013; val_WER: 1.0
2024-03-14 11:56:58,384 - root - INFO - Epoch 48; loss: 17.995100021362305; CER: 0.8711639046669006; WER: 1.0; val_loss: 18.68268585205078; val_CER: 0.8610544204711914; val_WER: 1.0
2024-03-14 11:57:25,835 - root - INFO - Epoch 49; loss: 17.451841354370117; CER: 0.8541005253791809; WER: 1.0; val_loss: 19.60493278503418; val_CER: 0.8880952000617981; val_WER: 1.0
2024-03-14 11:57:52,813 - root - INFO - Epoch 50; loss: 16.895166397094727; CER: 0.8301776051521301; WER: 1.0; val_loss: 20.56369400024414; val_CER: 0.9204080700874329; val_WER: 1.0
2024-03-14 11:58:20,765 - root - INFO - Epoch 51; loss: 16.120105743408203; CER: 0.806103527545929; WER: 1.0; val_loss: 17.09697151184082; val_CER: 0.8265306353569031; val_WER: 1.0
2024-03-14 11:58:47,653 - root - INFO - Epoch 52; loss: 15.589654922485352; CER: 0.7853363752365112; WER: 1.0; val_loss: 21.414216995239258; val_CER: 0.9154761433601379; val_WER: 1.0
2024-03-14 11:59:15,597 - root - INFO - Epoch 53; loss: 15.338658332824707; CER: 0.7693501114845276; WER: 0.9992063641548157; val_loss: 19.2612247467041; val_CER: 0.8833333253860474; val_WER: 1.0
2024-03-14 11:59:42,136 - root - INFO - Epoch 54; loss: 14.846955299377441; CER: 0.7468442320823669; WER: 0.9992063641548157; val_loss: 21.102779388427734; val_CER: 0.9238094687461853; val_WER: 1.0
2024-03-14 12:00:08,370 - root - INFO - Epoch 55; loss: 14.49420166015625; CER: 0.73599773645401; WER: 0.9992063641548157; val_loss: 26.160022735595703; val_CER: 0.9416666030883789; val_WER: 1.0
2024-03-14 12:00:35,279 - root - INFO - Epoch 56; loss: 14.061728477478027; CER: 0.7180461287498474; WER: 0.9992063641548157; val_loss: 19.46249008178711; val_CER: 0.9309523701667786; val_WER: 1.0
2024-03-14 12:01:05,791 - root - INFO - Epoch 57; loss: 13.633002281188965; CER: 0.7057256102561951; WER: 0.9976190328598022; val_loss: 24.881345748901367; val_CER: 0.9476189613342285; val_WER: 1.0
2024-03-14 12:01:35,729 - root - INFO - Epoch 58; loss: 13.049660682678223; CER: 0.6750755906105042; WER: 0.9984126687049866; val_loss: 39.13689422607422; val_CER: 0.9573128819465637; val_WER: 1.0
2024-03-14 12:02:05,419 - root - INFO - Epoch 59; loss: 12.629175186157227; CER: 0.6616590023040771; WER: 0.9992063641548157; val_loss: 35.027626037597656; val_CER: 0.9525509476661682; val_WER: 1.0
2024-03-14 12:02:35,091 - root - INFO - Epoch 60; loss: 12.46064281463623; CER: 0.6453137397766113; WER: 0.9952380657196045; val_loss: 27.639009475708008; val_CER: 0.9537414312362671; val_WER: 1.0
2024-03-14 12:03:04,236 - root - INFO - Epoch 61; loss: 12.275541305541992; CER: 0.6346939206123352; WER: 0.9952380657196045; val_loss: 17.08534049987793; val_CER: 0.8239795565605164; val_WER: 1.0
2024-03-14 12:03:33,242 - root - INFO - Epoch 62; loss: 11.901665687561035; CER: 0.6149660348892212; WER: 0.9944444298744202; val_loss: 16.089006423950195; val_CER: 0.7323129773139954; val_WER: 1.0
2024-03-14 12:04:02,134 - root - INFO - Epoch 63; loss: 11.54062271118164; CER: 0.6082577109336853; WER: 0.9936507940292358; val_loss: 20.878625869750977; val_CER: 0.8620748519897461; val_WER: 1.0
2024-03-14 12:04:31,149 - root - INFO - Epoch 64; loss: 11.222384452819824; CER: 0.5864135026931763; WER: 0.9928571581840515; val_loss: 18.2277889251709; val_CER: 0.902550995349884; val_WER: 1.0
